Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
138925 (2001 AU43),,,5.2561,16.01,2459800.5,0.3765,1.897,1.183,72.15,129.3,149.32,344.15,2.61,0.3773,0.212,0
138937 (2001 BK16),,,15.06,17.65,2459800.5,0.678,2.073,0.667,31.82,98.88,252.41,102.88,3.48,0.3303,0.0613,0
138947 (2001 BA40),0.447,0.292,,18.82,2459800.5,0.2536,1.119,0.835,12.84,270.87,0.06,311.52,1.4,0.8328,0.181,0
139047 (2001 EB16),,,,17.47,2459800.5,0.3861,1.862,1.143,47.02,149.54,346.26,161.69,2.58,0.388,0.164,0
139056 (2001 FY),0.32,0.52,5.207,19.19,2459800.5,0.3271,1.886,1.269,4.73,111.24,110.43,75.25,2.5,0.3804,0.275,0
139289 (2001 KR1),1.126,0.127,11.3,17.74,2459800.5,0.8413,1.26,0.2,23.26,102.74,291.44,310.37,2.32,0.6972,0.178,0
139345 (2001 KA67),2.586,0.038,44.25,16.8,2459800.5,0.7017,1.806,0.539,22.28,108.36,38,288.04,3.07,0.4063,0.263,0
140333 (2001 TD2),,,,19.24,2459800.5,0.4816,0.9619,0.499,19.04,12.83,199.07,140.33,1.43,1.045,0.185,0
140928 (2001 VG75),,,17.692,18.26,2459800.5,0.2969,1.519,1.068,20.66,245.44,257.38,307.53,1.97,0.5266,0.248,0
141018 (2001 WC47),,,16.51,19.05,2459800.5,0.2412,1.399,1.061,2.87,91.61,101.38,89.16,1.74,0.5959,0.0788,0
141052 (2001 XR1),,,7.658,17.49,2459800.5,0.5501,1.245,0.56,17.66,291.51,304.15,215.55,1.93,0.7092,0.103,0
141056 (2001 XV4),,,2.671,17.32,2459800.5,0.4442,1.817,1.01,28.86,259.18,300.51,72.56,2.62,0.4024,0.147,0
141078 (2001 XQ30),,,,18.74,2459800.5,0.4509,1.863,1.023,11.47,234.6,270.9,2.62,2.7,0.3877,0.19,0
141079 (2001 XS30),,,3.761,17.76,2459800.5,0.8281,1.165,0.2,28.53,251.45,0.88,38.33,2.13,0.7843,0.303,0
141354 (2002 AJ29),,,10.801,17.39,2459800.5,0.4501,1.99,1.094,10.91,203.94,0.56,92.91,2.89,0.3511,0.0918,0
141424 (2002 CD),,,,20.65,2459800.5,0.1767,0.9798,0.807,6.88,8.67,331.79,185.99,1.15,1.016,0.0732,0
141447 (2002 CW59),,,,17.1,2459800.5,0.5033,2.388,1.186,32.04,151.12,7.48,190.89,3.59,0.2671,0.201,0
141484 (2002 DB4),1.034,0.455,,16.36,2459800.5,0.3695,0.858,0.541,16.6,234.23,94.15,7.14,1.18,1.24,0.152,0
141498 (2002 EZ16),,,5.02,18.49,2459800.5,0.5665,0.9216,0.4,30.14,262.9,25.36,158.41,1.44,1.114,0.177,0
141526 (2002 FA6),,,,20.2,2459800.5,0.3225,1.014,0.687,30.1,174.67,173.39,208.46,1.34,0.9655,0.315,0
141531 (2002 GB),0.303,0.482,73,19.16,2459800.5,0.529,0.992,0.467,22.55,40.81,8.32,283.99,1.52,0.9975,0.281,0
141670 (2002 JS100),,,4.693,16.86,2459800.5,0.485,2.386,1.229,13.32,144.21,192.12,131.29,3.54,0.2675,0.221,0
141761 (2002 MC),,,,17.47,2459800.5,0.5082,2.578,1.268,18.9,151.54,159.9,305.35,3.89,0.2381,0.269,0
141765 (2002 MP3),,,,16.4,2459800.5,0.4693,2,1.061,33.07,100.32,270.16,336.48,2.94,0.3486,0.392,0
141874 (2002 PO34),,,,17.89,2459800.5,0.3486,1.835,1.195,10.99,143.63,291.01,297.83,2.47,0.3966,0.28,0
142040 (2002 QE15),1.232,0.353,3.853,16.26,2459800.5,0.3445,1.667,1.093,28.25,226.38,160.51,67.95,2.24,0.4579,0.117,0
142348 (2002 RX211),,,5.0689,18.33,2459800.5,0.4575,2.065,1.12,6.07,96.64,324.35,224.42,3.01,0.3322,0.147,0
142464 (2002 TC9),0.886,0.118,5.131,18.3,2459800.5,0.1548,1.234,1.043,16.28,191.82,29.27,329.23,1.42,0.7191,0.0601,0
142555 (2002 TB58),,,,16.36,2459800.5,0.5639,2.631,1.147,23.39,219.22,268.05,215.48,4.11,0.231,0.427,0
142561 (2002 TX68),,,,18.21,2459800.5,0.2934,1.674,1.183,16.65,150.15,122.45,133.95,2.17,0.4551,0.251,0
142563 (2002 TR69),0.86,0.378,,17.2,2459800.5,0.344,1.66,1.089,20.49,341.98,192.29,315.6,2.23,0.461,0.104,0
142781 (2002 UM11),1.595,0.252,6.81,16.25,2459800.5,0.3875,1.951,1.195,41.02,228.97,229.06,50.85,2.71,0.3616,0.313,0
143381 (2003 BC21),,,5.0678,16.21,2459800.5,0.5111,2.594,1.269,5.48,292.14,114.04,283.66,3.92,0.2358,0.295,0
143409 (2003 BQ46),,,10.531,17.92,2459800.5,0.3513,1.949,1.265,8.17,163.81,44.13,20.25,2.63,0.3622,0.283,0
143527 (2003 EN16),,,,18.66,2459800.5,0.352,1.661,1.077,17.31,181.71,242.19,101.01,2.25,0.4602,0.192,0
143637 (2003 LP6),,,,16.43,2459800.5,0.8837,1.746,0.203,43.57,144.54,260.64,85.89,3.29,0.4271,0.339,0
143643 (2003 NP7),,,,18.33,2459800.5,0.4167,2.181,1.272,11.11,285.24,323.49,343.11,3.09,0.306,0.28,0
143678 (2003 SA224),,,35,16.43,2459800.5,0.3286,1.649,1.107,13.87,2.79,142.03,284.66,2.19,0.4652,0.153,0
143947 (2003 YQ117),,,,15.43,2459800.5,0.6549,2.181,0.753,21.04,217.49,135.72,341.11,3.61,0.306,0.103,0
144411 (2004 EW9),,,49.94,16.55,2459800.5,0.5333,1.918,0.895,8.79,288.82,8.2,282.84,2.94,0.3711,0.0897,0
144861 (2004 LA12),,,,15.43,2459800.5,0.7493,2.51,0.629,39.43,159.22,199.45,148.65,4.39,0.2479,0.356,0
144901 (2004 WG1),2.24,0.038,8.06,17.54,2459800.5,0.5213,1.64,0.785,13.04,41.99,232.48,255.73,2.5,0.4692,0.0546,0
144922 (2005 CK38),,,4.7894,17.37,2459800.5,0.4122,2.132,1.253,8.23,8.74,213.68,192.26,3.01,0.3165,0.26,0
145656 (4788 P-L),,,2.968,16.43,2459800.5,0.5555,2.64,1.174,11.09,174.37,100.94,186.97,4.11,0.2298,0.256,0
152558 (1990 SA),1.4,0.146,8.147,16.89,2459800.5,0.4417,2.013,1.124,38.15,172.16,115.15,84.14,2.9,0.345,0.308,0
152563 (1992 BF),0.272,0.287,32,19.81,2459800.5,0.2715,0.9076,0.661,7.26,315.26,336.6,314.76,1.15,1.14,0.0633,0
152564 (1992 HF),0.282,0.169,3.276,19.72,2459800.5,0.5619,1.391,0.609,13.32,213.38,128.34,107.52,2.17,0.6008,0.12,0
152575 (1994 GY),,,16.28,17.1,2459800.5,0.5249,2.684,1.275,12.34,33.68,190.44,153.7,4.09,0.2241,0.27,0
152667 (1998 FR11),,,,16.43,2459800.5,0.7065,2.81,0.825,6.67,129.87,158.6,41.13,4.8,0.2092,0.064,0
152679 (1998 KU2),4.167,0.022,125,16.7,2459800.5,0.553,2.251,1.006,4.93,205.72,120.33,28.78,3.5,0.2919,0.0596,0
152742 (1998 XE12),0.413,0.264,,19.11,2459800.5,0.739,0.8782,0.229,13.43,280.04,353.13,19.23,1.53,1.198,0.112,0
152756 (1999 JV3),,,2.845,18.99,2459800.5,0.415,1.451,0.849,15.22,229.02,101.59,57.19,2.05,0.5642,0.0669,0
152787 (1999 TB10),,,,18.69,2459800.5,0.2315,1.363,1.048,15.95,1.9,137.42,16.63,1.68,0.6193,0.0984,0
152889 (2000 CF59),1.022,0.388,,16.63,2459800.5,0.6409,1.679,0.603,41.56,141.77,222.45,170.68,2.76,0.4529,0.316,0
152895 (2000 CQ101),,,,18.17,2459800.5,0.4925,2.293,1.164,2.97,29.78,174.09,148.32,3.42,0.2838,0.161,0
152931 (2000 EA107),1.646,0.237,4.1367,16.35,2459800.5,0.4558,0.9298,0.506,28.58,52.88,278.04,177.75,1.35,1.099,0.161,0
152941 (2000 FM10),0.82,0.205,,17.63,2459800.5,0.6809,1.481,0.473,8.74,18.52,343.97,4.44,2.49,0.5468,0.127,0
152942 (2000 FN10),,,,16.77,2459800.5,0.4561,1.939,1.055,27.08,8.18,235.44,83.65,2.82,0.365,0.184,0
152952 (2000 GC2),0.776,0.353,4.179,17.55,2459800.5,0.1871,1.383,1.125,55.3,358.69,280.23,180.29,1.64,0.6057,0.28,0
152964 (2000 GP82),0.788,0.342,,17.73,2459800.5,0.3932,1.396,0.847,13.23,114.87,333.07,264.62,1.95,0.5972,0.0899,0
153195 (2000 WB1),1.327,0.1,,17.51,2459800.5,0.619,1.301,0.496,41.11,21.38,262.92,288.48,2.11,0.6639,0.0905,0
153219 (2000 YM29),1.289,0.035,,18.54,2459800.5,0.4353,2.089,1.18,40.32,116.54,1.02,52.17,3,0.3264,0.197,0
153243 (2001 AU47),,,,17.51,2459800.5,0.5307,1.299,0.61,35.98,311.91,9.38,277.17,1.99,0.6657,0.401,0
153249 (2001 BW15),3.16,0.177,,15.38,2459800.5,0.5904,2.118,0.867,41.24,328.9,297.96,279.09,3.37,0.3197,0.0583,0
153267 (2001 CB32),,,,17.9,2459800.5,0.6138,1.782,0.688,9.67,75.56,330.47,36.23,2.88,0.4144,0.119,0
153271 (2001 CL42),2.441,0.039,,17.42,2459800.5,0.4023,1.557,0.931,21.65,12.05,270.84,293.51,2.18,0.5072,0.192,0
153306 (2001 JL1),,,,16.79,2459800.5,0.5232,2.552,1.217,26.98,226.65,272.4,103.95,3.89,0.2417,0.507,0
153315 (2001 NH6),,,,19.51,2459800.5,0.4496,1.237,0.681,34.7,112.54,288.39,35.7,1.79,0.7161,0.0987,0
153349 (2001 PJ9),,,,18.64,2459800.5,0.6392,1.799,0.649,10.54,283.82,291.16,291.08,2.95,0.4085,0.0516,0
153415 (2001 QP153),,,4.452,17.1,2459800.5,0.2139,0.8915,0.701,50.21,317.68,244.27,73.97,1.08,1.171,0.0732,0
153460 (2001 RN),,,,19.74,2459800.5,0.5811,1.414,0.592,10.09,211.46,30.38,198.45,2.24,0.5863,0.14,0
153792 (2001 VH75),,,,18.16,2459800.5,0.7427,2.101,0.541,10.48,274.76,245.87,254.16,3.66,0.3237,0.0579,0
153842 (2001 XT30),1.759,0.193,17.95,16.7,2459800.5,0.5667,2.752,1.192,9,139.87,219.39,225.52,4.31,0.2159,0.21,0
153951 (2002 AC3),,,7.072,18.76,2459800.5,0.3426,1.836,1.207,15.47,314.44,215.06,63.42,2.46,0.3962,0.25,0
153953 (2002 AD9),,,,16.84,2459800.5,0.809,1.773,0.339,31.03,2.58,9.78,288.77,3.21,0.4174,0.409,0
153957 (2002 AB29),,,2.415,17.88,2459800.5,0.7588,2.533,0.611,46.53,89.71,73.19,25.31,4.45,0.2445,0.0789,0
154007 (2002 BY),,,14.91,18.13,2459800.5,0.3463,1.819,1.189,2.72,214.25,23.74,67.47,2.45,0.4019,0.179,0
154020 (2002 CA10),,,,19.37,2459800.5,0.5899,1.541,0.632,12.12,145.35,222.18,314.96,2.45,0.5151,0.153,0
154029 (2002 CY46),1.119,0.098,2.554,16.58,2459800.5,0.4624,1.89,1.016,44.2,346.16,319.41,227.46,2.76,0.3792,0.0879,0
154035 (2002 CV59),1.098,0.149,,17.42,2459800.5,0.5322,1.21,0.566,49.06,13.09,347.13,352.02,1.85,0.7405,0.425,0
154144 (2002 FA5),,,,17.5,2459800.5,0.2961,1.834,1.291,23.62,172.57,126.41,356.84,2.38,0.3969,0.368,0
154229 (2002 JN97),,,4.48468,16.76,2459800.5,0.7185,1.851,0.521,10.09,67.64,341.63,46.52,3.18,0.3913,0.158,0
154244 (2002 KL6),,,4.6063,17.66,2459800.5,0.5485,2.307,1.042,3.25,213.22,98.13,258.65,3.57,0.2812,0.0636,0
154268 (2002 RM129),,,,18.1,2459800.5,0.4651,1.511,0.808,14.58,132.67,357.56,157.35,2.21,0.5306,0.175,0
154278 (2002 TB9),,,7.85,16.57,2459800.5,0.5918,1.804,0.736,29.77,196.23,322.7,340.97,2.87,0.4068,0.184,0
154300 (2002 UO),,,,19.37,2459800.5,0.4724,1.209,0.638,8.29,90.67,184.24,19.96,1.78,0.7411,0.142,0
154347 (2002 XK4),,,3.319,16.1,2459800.5,0.6921,1.85,0.57,17.75,331.66,24.96,321.1,3.13,0.3918,0.27,0
154453 (2003 CJ11),,,5.23,15.32,2459800.5,0.8353,2.582,0.425,20.82,61.7,356.38,264.84,4.74,0.2375,0.344,0
154555 (2003 HA),,,5.183,16.7,2459800.5,0.5803,1.184,0.497,36.83,53.49,277.15,256.95,1.87,0.7647,0.116,0
154589 (2003 MX2),1.109,0.395,1.611,16.7,2459800.5,0.4589,2.29,1.239,7.18,58.66,300.57,142.13,3.34,0.2843,0.264,0
154631 (2003 WO25),,,,18.23,2459800.5,0.4916,1.558,0.792,15.91,357.85,176.04,156.18,2.32,0.507,0.202,0
154652 (2004 EP20),,,,18.93,2459800.5,0.4506,1.059,0.582,16.18,159.58,191.34,177.31,1.54,0.905,0.236,0
154656 (2004 FE3),,,,16.41,2459800.5,0.6473,2.31,0.815,22.96,339.09,338.26,34.12,3.8,0.2808,0.154,0
154658 (2004 FA18),,,,19.42,2459800.5,0.4548,1.097,0.598,19.29,29.59,318.65,234.66,1.6,0.8582,0.154,0
154715 (2004 LB6),,,,18.54,2459800.5,0.4908,1.619,0.824,4.1,182.76,190.61,255.81,2.41,0.4787,0.058,0
154807 (2004 PP97),0.469,0.319,161,18.64,2459800.5,0.3165,1.484,1.014,15.53,15.1,68.68,247.97,1.95,0.5454,0.147,0
154988 (2004 XN35),,,,18.4,2459800.5,0.68,1.506,0.482,9.82,132.98,189.99,231.09,2.53,0.5335,0.152,0
154991 Vinciguerra (2005 BX26),,,,18.57,2459800.5,0.3229,1.705,1.154,5.63,245.47,269.66,342.73,2.26,0.4428,0.196,0
154993 (2005 EA94),0.828,0.195,13.761,18.02,2459800.5,0.6635,1.516,0.51,10.33,104.1,308.99,142.28,2.52,0.5279,0.0749,0
155110 (2005 TB),0.683,0.379,3.479,17.52,2459800.5,0.3483,1.261,0.822,30.38,226.18,44.78,3.76,1.7,0.6957,0.111,0
155140 (2005 UD),,,5.235,17.47,2459800.5,0.8723,1.275,0.163,28.67,19.72,207.59,278.66,2.39,0.6848,0.0777,0
155334 (2006 DZ169),,,4.682,17.23,2459800.5,0.4088,2.034,1.203,6.62,14.82,275.94,167.74,2.87,0.3397,0.225,0
155336 (2006 GA1),,,,18.41,2459800.5,0.7374,2.121,0.557,4.19,64.34,355.28,150.08,3.68,0.3191,0.0721,0
155340 (2006 SK198),,,,16.39,2459800.5,0.4668,2.107,1.123,9.24,260.54,352.55,165.75,3.09,0.3224,0.11,0
155341 (2006 SA218),,,32.8,18.35,2459800.5,0.2415,1.478,1.121,18.52,144.37,278.02,276.13,1.83,0.5488,0.287,0
159399 (1998 UL1),,,4.01,16.63,2459800.5,0.214,1.527,1.2,41.97,214.86,353.18,31.44,1.85,0.5224,0.196,0
159402 (1999 AP10),,,7.9219,16.62,2459800.5,0.5718,2.381,1.019,7.57,356.85,47.57,172.35,3.74,0.2683,0.0772,0
159454 (2000 DJ8),0.577,0.367,14.245,18.16,2459800.5,0.2528,1.411,1.054,37.75,139.54,262.94,237.8,1.77,0.588,0.247,0
159459 (2000 KB),1.769,0.187,,16.34,2459800.5,0.7991,2.336,0.469,56.2,185.37,185.36,56.68,4.2,0.276,0.531,0
159467 (2000 QK25),,,3,18.46,2459800.5,0.283,1.81,1.298,6.14,138.8,240.38,340,2.32,0.4049,0.316,0
159495 (2000 UV16),,,,17.57,2459800.5,0.4831,2.348,1.214,4.07,341.67,352.72,46.32,3.48,0.2739,0.204,0
159518 (2001 FF7),1.784,0.038,,17.99,2459800.5,0.4442,2.104,1.17,47.51,190.14,59.35,342.25,3.04,0.3229,0.343,0
159533 (2001 HH31),,,3.66,17.68,2459800.5,0.289,1.654,1.176,12.85,71.62,275.97,264.91,2.13,0.4632,0.291,0
159555 (2001 SJ276),,,,18.79,2459800.5,0.2301,1.63,1.255,29.44,214.94,123.5,26.37,2.01,0.4734,0.351,0
159560 (2001 TO103),1.156,0.209,,17.14,2459800.5,0.4346,2.213,1.251,25.73,42.24,261.64,168.27,3.18,0.2994,0.473,0
159608 (2002 AC2),,,,16.64,2459800.5,0.3517,1.674,1.085,58.88,102.69,208.15,342.45,2.26,0.455,0.102,0
159609 (2002 AQ3),,,,17.25,2459800.5,0.463,2.111,1.134,40.02,124.23,243.47,309.59,3.09,0.3213,0.313,0
159635 (2002 CZ46),,,,18.2,2459800.5,0.3241,1.703,1.151,16.24,173.38,246.4,135.89,2.26,0.4434,0.262,0
159677 (2002 HQ11),,,,19.45,2459800.5,0.5948,1.851,0.75,6.06,153.18,322.4,51.3,2.95,0.3914,0.0555,0
159686 (2002 LB6),1.845,0.162,,16.4,2459800.5,0.6882,1.804,0.562,24.72,244.74,141.02,78.6,3.05,0.4068,0.282,0
159699 (2002 PQ142),,,,17.7,2459800.5,0.7157,1.697,0.482,16.81,151.27,332.19,331.66,2.91,0.4459,0.215,0
159856 (2004 JW6),,,,17.96,2459800.5,0.4649,2.155,1.153,9.75,143.94,174.56,238.45,3.16,0.3115,0.141,0
159923 (2004 YJ32),,,,16.42,2459800.5,0.5246,2.524,1.2,7.52,118.72,234.25,211.02,3.85,0.2458,0.222,0
159928 (2005 CV69),,,,18.05,2459800.5,0.4191,1.654,0.961,27.75,157.48,95.65,24.73,2.35,0.4631,0.219,0
159929 (2005 UK),2.62,0.026,33.4,17.73,2459800.5,0.4074,1.887,1.118,54.43,222.56,19.43,301.73,2.66,0.3804,0.128,0
161995 (1983 LB),,,,17.26,2459800.5,0.4791,2.286,1.191,25.27,81.17,220.71,101.02,3.38,0.2851,0.245,0
161998 (1988 PA),,,13.4,17.61,2459800.5,0.4052,2.148,1.278,8.23,162.12,137.64,296.24,3.02,0.3131,0.281,0
161999 (1989 RC),0.458,0.211,,18.61,2459800.5,0.5127,2.315,1.128,7.37,140.16,181.38,133.74,3.5,0.2797,0.115,0
162004 (1991 VE),,,13.4895,18.29,2459800.5,0.6645,0.8908,0.299,7.22,61.86,193.65,295.93,1.48,1.172,0.0577,0
162011 Konnohmaru (1994 AB1),,,2.998,16.59,2459800.5,0.5972,2.832,1.141,4.55,66.73,342.93,7.04,4.52,0.2068,0.154,0
162015 (1994 TF2),,,,19.25,2459800.5,0.2839,0.9931,0.711,23.76,175.23,349.78,269.18,1.28,0.9959,0.255,0
162038 (1996 DH),1.959,0.105,7.16,16.71,2459800.5,0.2765,1.587,1.148,17.23,309.29,351.57,307.61,2.03,0.4931,0.135,0
162058 (1997 AE12),0.847,0.186,1880,17.99,2459800.5,0.5547,2.366,1.054,4.85,304.82,60.8,64.01,3.68,0.2708,0.0869,0
162063 (1997 EH29),,,,18.94,2459800.5,0.6666,1.214,0.405,13.01,175.12,198.64,112.13,2.02,0.7367,0.151,0
162080 (1998 DG16),0.777,0.035,,19.96,2459800.5,0.3582,0.8967,0.575,16.21,344.33,356.87,115.15,1.22,1.161,0.189,0
162117 (1998 SD15),,,7.33,19.14,2459800.5,0.3449,0.9327,0.611,26.8,183.92,35.83,291.52,1.25,1.094,0.111,0
162142 (1998 VR),0.462,0.25,8.44,18.83,2459800.5,0.3179,0.8754,0.597,21.81,46.36,170.72,192.31,1.15,1.203,0.152,0
162149 (1998 YQ11),,,,17.38,2459800.5,0.3968,1.874,1.13,11.93,256.56,245.83,65.29,2.62,0.3842,0.23,0
162157 (1999 CV8),,,,19.95,2459800.5,0.3515,1.297,0.841,15.27,131.98,279.31,19.33,1.75,0.6674,0.0578,0
162161 (1999 DK3),,,,17.68,2459800.5,0.4433,2.115,1.177,43.15,149.72,103.04,186.14,3.05,0.3205,0.446,0
162168 (1999 GT6),,,3.85,17.34,2459800.5,0.5867,2.804,1.159,4.06,206.14,78.96,315.83,4.45,0.2099,0.161,0
162181 (1999 LF6),0.729,0.175,37.26,18.23,2459800.5,0.2806,1.41,1.014,18.94,208.5,140.88,250.5,1.81,0.5889,0.0647,0
162186 (1999 OP3),,,8.36,15.03,2459800.5,0.6104,2.713,1.057,27.54,311.4,271.28,95.55,4.37,0.2206,0.381,0
162195 (1999 RK45),,,,19.5,2459800.5,0.773,1.598,0.363,5.89,120,4.18,88.43,2.83,0.4879,0.0879,0
162196 (1999 RL45),,,,18.79,2459800.5,0.3748,1.826,1.142,22.43,171.93,234.27,68.06,2.51,0.3993,0.241,0
162214 (1999 TC10),,,,18.9,2459800.5,0.5855,2.324,0.963,19.16,27.68,58.77,143.16,3.68,0.2783,0.12,0
162215 (1999 TL12),,,,19.21,2459800.5,0.4367,1.081,0.609,17.34,202.32,346.78,300.19,1.55,0.8763,0.257,0
162269 (1999 VO6),1.01,0.274,,17.06,2459800.5,0.7379,1.135,0.298,40.13,206.83,302.54,241.48,1.97,0.8146,0.0765,0
162273 (1999 VL12),,,7.38,17.27,2459800.5,0.2361,1.594,1.217,20.18,234.4,40.92,231.79,1.97,0.4899,0.248,0
162385 (2000 BM19),0.812,0.115,9.463,18.58,2459800.5,0.3586,0.7406,0.475,6.89,70.33,247.6,250.22,1.01,1.547,0.0826,0
162433 (2000 FK10),,,,19.34,2459800.5,0.4813,1.359,0.705,13.94,41.66,247.02,348.98,2.01,0.6223,0.066,0
162452 (2000 HO14),,,,18.53,2459800.5,0.4475,2.261,1.249,5.46,217.42,53.85,173.1,3.27,0.2899,0.248,0
162463 (2000 JH5),1.048,0.084,3.024,17.84,2459800.5,0.2383,1.146,0.873,22.21,80.18,353.53,188.98,1.42,0.8037,0.109,0
162470 (2000 KX43),,,,19.24,2459800.5,0.5529,1.113,0.497,35.26,83.74,31.79,31.21,1.73,0.8398,0.269,0
162472 (2000 LL),,,,19.17,2459800.5,0.1183,1.259,1.11,31.86,245.65,66.86,208.59,1.41,0.6979,0.169,0
162483 (2000 PJ5),0.906,0.236,2.642,17.58,2459800.5,0.3736,0.8727,0.547,51.18,124.42,7.65,135.04,1.2,1.209,0.176,0
162566 (2000 RJ34),4.299,0.071,50.67,15.75,2459800.5,0.5754,2.626,1.115,14.28,329.88,145.51,354.03,4.14,0.2316,0.168,0
162581 (2000 SA10),,,,18.67,2459800.5,0.3515,1.667,1.081,15.89,200.32,248.19,13.42,2.25,0.4578,0.213,0
162635 (2000 SS164),,,6.8939,16.72,2459800.5,0.5147,2.571,1.248,7.88,153.42,312.21,71.7,3.89,0.239,0.287,0
162679 (2000 TK1),,,,18,2459800.5,0.5718,1.2,0.514,29.24,13.01,167.37,89.7,1.89,0.7502,0.411,0
162694 (2000 UH11),,,,19.75,2459800.5,0.4224,0.8703,0.503,32.23,29.78,187.4,112.39,1.24,1.214,0.225,0
162698 (2000 UN30),,,,18.48,2459800.5,0.4878,2.119,1.085,20.69,66.23,271.84,43.16,3.15,0.3196,0.336,0
162723 (2000 VM2),,,4.571,17.66,2459800.5,0.6819,1.774,0.564,6.39,329.81,187.38,29,2.98,0.4172,0.109,0
162740 (2000 WF6),,,,18.53,2459800.5,0.5035,2.458,1.22,39.21,264.32,159.11,221.83,3.7,0.2558,0.26,0
162741 (2000 WG6),3.945,0.014,,17.53,2459800.5,0.4995,2.319,1.16,11.85,60.74,330.06,56.63,3.48,0.2792,0.191,0
162781 (2000 XL44),,,,18.02,2459800.5,0.427,2.225,1.275,10.04,332.03,163.86,173.24,3.17,0.297,0.293,0
162854 (2001 DE47),,,,19.15,2459800.5,0.1492,1.323,1.126,21.27,122.42,297.77,101.12,1.52,0.6477,0.214,0
162873 (2001 FB7),,,,19.27,2459800.5,0.0865,1.401,1.279,20.2,357.89,198.73,313.04,1.52,0.5947,0.289,0
162900 (2001 HG31),,,60.61,15.99,2459800.5,0.5349,2.578,1.199,6.16,36.51,67.42,95.62,3.96,0.2382,0.242,0
162903 (2001 JV2),1.086,0.06,,18.63,2459800.5,0.2374,1.305,0.995,47.49,216.9,301.22,147.41,1.61,0.6615,0.0877,0
162911 (2001 LL5),,,,19.33,2459800.5,0.3394,1.204,0.795,7.95,281.84,205.18,82.18,1.61,0.746,0.0999,0
162913 (2001 MT18),,,,18.37,2459800.5,0.5198,1.271,0.61,8.65,170.51,356.15,332.57,1.93,0.688,0.146,0
162926 (2001 OB36),,,,17.12,2459800.5,0.6179,2.943,1.124,42.66,113,289.08,33.12,4.76,0.1952,0.419,0
162980 (2001 RR17),0.79,0.658,12.71,16.78,2459800.5,0.489,1.553,0.794,30.41,177.61,351.45,119.55,2.31,0.5092,0.197,0
163000 (2001 SW169),,,69.97,19.3,2459800.5,0.0515,1.248,1.184,3.55,8.42,284.86,40.26,1.31,0.7066,0.18,0
163001 (2001 SE170),,,,18.41,2459800.5,0.4536,2.124,1.16,19.98,216.52,124.98,283.77,3.09,0.3185,0.264,0
163015 (2001 UX16),,,,22.07,2459800.5,0.3682,1.417,0.895,10.62,213.37,254.59,75.02,1.94,0.5844,0.064,0
163023 (2001 XU1),,,,19.52,2459800.5,0.5464,0.7973,0.362,27.15,69.69,208.52,128.4,1.23,1.384,0.0571,0
163070 (2002 AO7),,,,18.42,2459800.5,0.6351,2.912,1.062,14.54,278.05,240.6,26.45,4.76,0.1984,0.192,0
163081 (2002 AG29),,,19.64,18.57,2459800.5,0.2032,1.087,0.866,11.5,212.84,43.92,303.04,1.31,0.87,0.0762,0
163191 (2002 EQ9),,,3,19.45,2459800.5,0.4642,1.835,0.983,16.3,179.15,44.21,53.99,2.69,0.3964,0.0644,0
163250 (2002 GH1),,,,15.57,2459800.5,0.5358,2.697,1.252,35.41,170.02,352.01,220.24,4.14,0.2226,0.263,0
163252 (2002 GD11),,,7,17.9,2459800.5,0.4411,2.13,1.19,9,95.63,201,157.58,3.07,0.3171,0.181,0
163295 (2002 HW),,,,19.49,2459800.5,0.6446,2.463,0.875,5.81,32.34,77.65,96.44,4.05,0.255,0.0532,0
163335 (2002 LJ),,,,17.21,2459800.5,0.6668,1.328,0.442,56.31,247.05,155.64,13.68,2.21,0.644,0.501,0
163412 (2002 RV25),,,,17.34,2459800.5,0.4509,1.907,1.047,34.49,18.13,46.16,174.94,2.77,0.3742,0.148,0
163454 (2002 RN129),0.712,0.096,,18.99,2459800.5,0.3699,1.162,0.732,23.13,332.13,198.62,147.74,1.59,0.7868,0.235,0
163667 (2002 WC1),,,,19.88,2459800.5,0.5723,2.582,1.104,4.64,41.54,82.65,263.3,4.06,0.2376,0.147,0
163679 (2002 XG84),,,,19.32,2459800.5,0.4716,1.495,0.79,5.06,29.78,349.71,297.1,2.2,0.5393,0.0716,0
163691 (2003 BB43),3.449,0.021,6.649,17.24,2459800.5,0.5221,2.416,1.155,40.87,148.99,60.64,57.3,3.68,0.2625,0.353,0
163692 (2003 CY18),,,,18.28,2459800.5,0.4105,1.526,0.9,7.2,114.35,180.96,17.9,2.15,0.5227,0.0919,0
163693 Atira (2003 CP20),,,3.398,16.37,2459800.5,0.3222,0.741,0.502,25.62,103.88,252.92,343.03,0.98,1.545,0.206,0
163694 (2003 DP13),0.832,0.276,2.387,17.5,2459800.5,0.5433,2.64,1.206,9.82,326.69,283.12,167.24,4.07,0.2297,0.263,0
163696 (2003 EB50),,,62.06,16.44,2459800.5,0.5191,1.571,0.755,29.5,65.62,278.96,168.61,2.39,0.5006,0.0541,0
